city,latitude,longitude,name,province
Barnesville,33.054774,-84.15625,Dairy Queen,GA
North Augusta,33.572772,-81.938715,Dairy Queen,SC
North Augusta,33.572772,-81.938715,Dairy Queen,SC
Atlanta,33.86021,-84.309952,Dairy Queen,GA
Atlanta,33.880324,-84.275398,Dairy Queen,GA
Jonesboro,33.532392,-84.355959,Dairy Queen,GA
Atlanta,33.771188,-84.373631,Dairy Queen,GA
Bangor,44.83564,-68.742387,Burger King,ME
Asheboro,35.6876,-79.82614,Burger King,NC
Saint Louis,38.615623,-90.221252,Subway,MO
Florissant,38.8067,-90.297975,Arbys,MO
Fairborn,39.779771,-84.050756,Dairy Queen,OH
Akron,41.108993,-81.507567,Dairy Queen,OH
New Philadelphia,40.492212,-81.444822,Dairy Queen,OH
Cambridge,40.00481,-81.575932,Dairy Queen,OH
Florence,34.18876,-79.82402,Arbys,SC
Florence,34.166512,-79.763886,Arbys,SC
Derry,42.900371,-71.33503,Burger King,NH
Rutland,43.618244,-72.957313,Mcdonalds,VT
Layton,41.077026,-111.973568,Mcdonalds,UT
Enosburg Falls,44.913112,-72.796661,Mcdonalds,VT
South Burlington,44.464892999999996,-73.184211,Mcdonalds,VT
South Burlington,44.464892999999996,-73.184211,Mcdonalds,VT
South Burlington,44.437629,-73.210838,Mcdonalds,VT
Essex Junction,44.507366,-73.086501,Mcdonalds,VT
Colchester,44.503345,-73.1809,Mcdonalds,VT
Salt Lake City,40.771496,-111.917532,Mcdonalds,UT
Ogden,41.178295,-112.000468,Mcdonalds,UT
Provo,40.250567,-111.662228,Mcdonalds,UT
Veradale,47.664944,-117.197199,Mcdonalds,WA
Brigham City,41.491076,-112.016097,Mcdonalds,UT
Yelm,46.944589,-122.612408,Mcdonalds,WA
Yelm,46.944589,-122.612408,Mcdonalds,WA
Clarksburg,39.21248,-80.37987,Dairy Queen,WV
Yakima,46.603108,-120.481796,Mcdonalds,WA
Yakima,46.600036,-120.586846,Mcdonalds,WA
Yakima,46.600036,-120.586846,Mcdonalds,WA
Walla Walla,46.056214,-118.346068,Mcdonalds,WA
Woodland,45.910773,-122.746105,Mcdonalds,WA
Davison,43.017622,-83.517572,Burger King,MI
Belvidere,42.269137,-88.853432,Mcdonalds,IL
Breese,38.619582,-89.530023,Mcdonalds,IL
Braidwood,41.265585,-88.208353,Mcdonalds,IL
Bolingbrook,41.698519,-88.068207,Mcdonalds,IL
Bradley,41.160051,-87.851081,Mcdonalds,IL
Bourbonnais,41.159303,-87.886347,Mcdonalds,IL
Berwyn,41.850214,-87.783733,Mcdonalds,IL
Berwyn,41.849966,-87.802979,Mcdonalds,IL
Belvidere,42.240066,-88.841255,Mcdonalds,IL
Belleville,38.545182,-90.052155,Mcdonalds,IL
Aurora,41.778876,-88.315713,Mcdonalds,IL
Aurora,41.759701,-88.208402,Mcdonalds,IL
Alpena,45.044076,-83.456928,Arbys,MI
Alpena,45.05034,-83.445,Dairy Queen,MI
Aledo,41.199464,-90.733615,Mcdonalds,IL
Algonquin,42.163979,-88.285165,Mcdonalds,IL
Algonquin,42.173932,-88.335286,Mcdonalds,IL
Nampa,43.587291,-116.575061,Mcdonalds,ID
Baton Rouge,30.39099,-91.06156,Arbys,LA
Eagle,43.693428,-116.353552,Mcdonalds,ID
Emmett,43.863452,-116.500085,Mcdonalds,ID
Belle Vernon,40.174915,-79.806673,Subway,PA
Aliquippa,40.588694,-80.260898,Subway,PA
Wendell,35.792697,-78.37903,Mcdonalds,NC
Lumberton,34.62292,-79.047438,Mcdonalds,NC
Jackson,32.385437,-90.147307,Mcdonalds,MS
Biloxi,30.446349,-88.934148,Mcdonalds,MS
Biloxi,30.446349,-88.934148,Mcdonalds,MS
Charlotte,35.108263,-80.881511,Mcdonalds,NC
Columbus,33.493277,-88.363825,Mcdonalds,MS
High Point,35.989293,-80.002751,Mcdonalds,NC
Albert Lea,43.684267,-93.359575,Arbys,MN
Raleigh,35.900308,-78.681365,Mcdonalds,NC
Libby,48.387043,-115.552063,Mcdonalds,MT
Libby,48.387043,-115.552063,Mcdonalds,MT
Moss Point,30.438931,-88.526545,Mcdonalds,MS
Lexington,35.837287,-80.253557,Mcdonalds,NC
Kernersville,36.110972,-80.089276,Mcdonalds,NC
Bozeman,45.698929,-111.046744,Mcdonalds,MT
Bozeman,45.698929,-111.046744,Mcdonalds,MT
Conover,35.695895,-81.232175,Mcdonalds,NC
Missoula,46.869446,-113.985036,Mcdonalds,MT
Cleveland,33.759524,-90.715742,Mcdonalds,MS
Cleveland,33.759524,-90.715742,Mcdonalds,MS
Biloxi,30.39304,-88.884899,Mcdonalds,MS
Southaven,34.962709,-89.990486,Mcdonalds,MS
Southaven,34.962709,-89.990486,Mcdonalds,MS
Greensboro,36.088625,-79.887872,Mcdonalds,NC
Scotland Neck,36.126193,-77.423143,Mcdonalds,NC
Scotland Neck,36.126193,-77.423143,Mcdonalds,NC
Fayetteville,35.03713,-79.006832,Mcdonalds,NC
Whitefish,48.396123,-114.334756,Mcdonalds,MT
Charlotte,35.333437000000004,-80.798965,Mcdonalds,NC
Charlotte,35.203199,-80.73825,Mcdonalds,NC
Salisbury,35.661995,-80.500358,Mcdonalds,NC
Greensboro,36.126014,-79.906582,Mcdonalds,NC
Charlotte,35.236497,-80.735822,Mcdonalds,NC
Charlotte,35.236497,-80.735822,Mcdonalds,NC
Lexington,35.826728,-80.249726,Arbys,NC
Lexington,35.786441,-80.261414,Burger King,NC
Fairview Heights,38.592706,-89.97913,Burger King,IL
Rockford,42.242137,-88.976027,Burger King,IL
West Monroe,32.517245,-92.157261,Burger King,LA
Hartland,42.633792,-83.745291,Taco Bell,MI
Rockford,42.266918,-89.078393,Burger King,IL
Quincy,39.935583,-91.358298,Burger King,IL
Richton Park,41.483933,-87.716547,Burger King,IL
Pontiac,40.873382,-88.662007,Burger King,IL
Pontiac,40.873382,-88.662007,Burger King,IL
Newport News,37.051114,-76.460806,Burger King,VA
Pekin,40.551094,-89.608403,Burger King,IL
Grove City,39.881314,-83.067606,Taco Bell,OH
Oglesby,41.293679,-89.071461,Burger King,IL
Oglesby,41.293679,-89.071461,Burger King,IL
Auburn,38.927033,-121.087568,Taco Bell,CA
Crescent City,41.755062,-124.193834,Taco Bell,CA
Turlock,37.492303,-120.872609,Taco Bell,CA
Turlock,37.517764,-120.84839,Taco Bell,CA
Hilliard,39.985085,-83.150784,Taco Bell,OH
Hilliard,40.031912,-83.141324,Taco Bell,OH
Mount Vernon,38.313427,-88.945891,Burger King,IL
Hamilton,39.423262,-84.593293,Taco Bell,OH
Mount Carmel,38.412503,-87.766489000000007,Burger King,IL
Columbus,39.969056,-82.875638,Taco Bell,OH
Montgomery,41.726724,-88.319467,Burger King,IL
Montgomery,41.726724,-88.319467,Burger King,IL
Monmouth,40.922304,-90.648003,Burger King,IL
Monmouth,40.922304,-90.648003,Burger King,IL
Chalfont,40.270347,-75.223726,Subway,PA
Moline,41.472174,-90.477646,Burger King,IL
Melrose Park,41.908625,-87.883706,Burger King,IL
Dayton,39.789566,-84.238902,Taco Bell,OH
Dayton,39.73069,-84.141681,Taco Bell,OH
Dayton,39.768447,-84.123579,Taco Bell,OH
Dayton,39.706096,-84.202668,Taco Bell,OH
East Peoria,40.67705,-89.56172,Burger King,IL
East Peoria,40.66816,-89.58274,Chick Fil-A,IL
Columbus,40.135435,-83.016861,Taco Bell,OH
Columbus,40.058393,-82.917559,Taco Bell,OH
Columbus,40.066295,-83.092686,Taco Bell,OH
Machesney Park,42.313288,-89.054244,Burger King,IL
Macomb,40.458596,-90.648064,Burger King,IL
Saint Clair,40.727488,-76.190098,Subway,PA
Schuylkill Haven,40.637935,-76.171635,Subway,PA
Bloomsburg,41.003082,-76.456548,Subway,PA
Columbia,40.033798,-76.504435,Subway,PA
Denver,40.228059,-76.089173,Subway,PA
Kankakee,41.115978,-87.864762,Burger King,IL
Joliet,41.581105,-88.163626,Burger King,IL
Gurnee,42.377669,-87.934268,Burger King,IL
Glenview,42.088318,-87.798584,Burger King,IL
Granite City,38.72506,-90.12272,Burger King,IL
Cicero,41.851507,-87.751952,Burger King,IL
DeKalb,41.948497,-88.729428,Arbys,IL
Hyde Park,42.25521,-71.124229,Subway,MA
Cambridge,42.370628,-71.113627,Subway,MA
Maynard,42.431817,-71.455051,Subway,MA
Los Angeles,33.989111,-118.31236,Mcdonalds,CA
Canyon Country,34.415365,-118.464489,Mcdonalds,CA
Woodstock,34.110167,-84.51781,Subway,GA
Layton,41.101724,-111.945057,Subway,UT
Manhattan Beach,33.887088,-118.379032,Mcdonalds,CA
Merced,37.288978,-120.454784,Mcdonalds,CA
Los Angeles,34.041633,-118.308538,Mcdonalds,CA
Modesto,37.670921,-121.031266,Mcdonalds,CA
Carson,33.872499,-118.249899,Mcdonalds,CA
Dinuba,36.545447,-119.376746,Mcdonalds,CA
Palo Alto,37.460186,-122.137635,Mcdonalds,CA
Sacramento,38.596735,-121.415696,Mcdonalds,CA
West Sacramento,38.580839,-121.531005,Mcdonalds,CA
Vallejo,38.083895,-122.232565,Mcdonalds,CA
Glendale,34.170497,-118.289434,Mcdonalds,CA
Chino Hills,33.964895,-117.697501,Mcdonalds,CA
Hercules,38.00878,-122.271288,Mcdonalds,CA
Alhambra,34.077272,-118.13938,Mcdonalds,CA
Santa Ana,33.726842,-117.889116,Mcdonalds,CA
Seaside,36.607914,-121.855982,Mcdonalds,CA
Seaside,36.607914,-121.855982,Mcdonalds,CA
Woodland,38.676763,-121.750518,Mcdonalds,CA
Watsonville,36.916716,-121.775824,Mcdonalds,CA
Birmingham,33.590333,-86.697132,Chick Fil-A,AL
Martinsburg,39.446673,-77.986674,Chick Fil-A,WV
Beckley,37.802793,-81.181533,Chick Fil-A,WV
Yorktown,37.115608,-76.468184,Chick Fil-A,VA
Williamsburg,37.33953,-76.738285,Chick Fil-A,VA
Virginia Beach,36.798702,-76.178946,Chick Fil-A,VA
Roanoke,37.308619,-79.962426,Chick Fil-A,VA
Roanoke,37.308619,-79.962426,Chick Fil-A,VA
Roanoke,37.228457,-79.977693,Chick Fil-A,VA
Henrico,37.636558,-77.549903,Chick Fil-A,VA
Norfolk,36.864964,-76.210719,Chick Fil-A,VA
Lynchburg,37.36773,-79.175586,Chick Fil-A,VA
Hampton,37.048521,-76.390717,Chick Fil-A,VA
Fredericksburg,38.305008,-77.509345,Chick Fil-A,VA
Danville,36.595957,-79.422353,Chick Fil-A,VA
Chantilly,38.887485,-77.444623000000007,Chick Fil-A,VA
Charlottesville,38.078584,-78.473337,Chick Fil-A,VA
Charlottesville,38.088272,-78.471184,Chick Fil-A,VA
Salt Lake City,40.636461,-111.886187,Chick Fil-A,UT
Tallmadge,41.100839,-81.437661,Subway,OH
Grove City,39.896677,-83.081176,Subway,OH
Youngstown,41.103117,-80.706303,Subway,OH
Hazel Park,42.461637,-83.092384,Taco Bell,MI
Detroit,42.414696,-82.991078,Taco Bell,MI
Cuyahoga Falls,41.151148,-81.508981,Subway,OH
Canton,40.829692,-81.424453,Subway,OH
Mount Pleasant,43.590028,-84.768477,Arbys,MI
College Park,38.993906,-76.932576,Taco Bell,MD
College Park,38.993906,-76.932576,Taco Bell,MD
La Grange,29.905505,-96.876605,Subway,TX
Connersville,39.65965,-85.12869,Burger King,IN
Flint,42.945527,-83.69153,Arbys,MI
San Diego,27.761418,-98.22821,Subway,TX
Cadillac,44.275721,-85.406141,Arbys,MI
Grand Rapids,43.009426,-85.689161,Arbys,MI
Wyoming,42.884654,-85.683497,Arbys,MI
Grand Rapids,42.912151,-85.593573,Arbys,MI
Grand Rapids,42.984058,-85.638407,Arbys,MI
Grandville,42.905049,-85.776885,Arbys,MI
Holland,42.755541,-86.11581,Arbys,MI
Haines City,28.124645,-81.64031,Burger King,FL
Hillsdale,41.938054,-84.644247,Arbys,MI
Lowell,42.931488,-85.362962,Arbys,MI
Jackson,42.261453,-84.423763,Arbys,MI
Plainwell,42.450431,-85.663248,Arbys,MI
Plainwell,42.450431,-85.663248,Arbys,MI
Marshall,42.272194,-84.983336,Arbys,MI
Portage,42.194116,-85.597792,Arbys,MI
Kalamazoo,42.261766,-85.53267,Arbys,MI
Lansing,42.669926,-84.543872,Arbys,MI
Saint Johns,42.988532,-84.542143,Arbys,MI
Bridgeport,43.352851,-83.870496,Arbys,MI
Midland,43.661823,-84.247712,Arbys,MI
West Branch,44.251953,-84.226205,Arbys,MI
Belle Glade,26.6752,-80.67163,Burger King,FL
Clare,43.840219,-84.767504,Arbys,MI
Houghton Lake,44.299003,-84.712048,Arbys,MI
Lapeer,43.041955,-83.32014,Arbys,MI
Davison,43.019622,-83.518344,Arbys,MI
Grand Blanc,42.894241,-83.633182,Arbys,MI
Effingham,39.140033,-88.566849,Burger King,IL
Effingham,39.140232,-88.56615,Arbys,IL
Canton,40.769806,-81.385882,Arbys,OH
Canton,40.795141,-81.431983,Arbys,OH
Fresno,36.838733,-119.847902,Taco Bell,CA
Blue Ridge,34.87264,-84.32539,Arbys,GA
Blue Ridge,34.87264,-84.32539,Arbys,GA
Fresno,36.851564,-119.775033,Taco Bell,CA
Sunnyvale,37.372189,-122.047663,Taco Bell,CA
Fairfield,38.260137,-122.053517,Taco Bell,CA
Pleasant Hill,37.981376,-122.067541,Taco Bell,CA
